trans,items
3,tropicalfruit|yogurt|coffee|
1,wholemilk|
4,pipfruit|yogurt|creamcheese|meatspreads
4,othervegetables|wholemilk|condensedmilk|longlifebakeryproduct
5,wholemilk|butter|yogurt|rice|abrasivecleaner|
1,rolls|buns|
5,othervegetables|UHT-milk|rolls|buns|bottledbeer|liquor(appetizer)|
1,pottedplants|
2,wholemilk|cereals
5,tropicalfruit|othervegetables|whitebread|bottledwater|chocolate|
9,citrusfruit|tropicalfruit|wholemilk|butter|curd|yogurt|flour|bottledwater|dishes|
1,beef|
3,frankfurter|rolls|buns|soda|
2,chicken|tropicalfruit
4,butter|sugar|fruit|vegetablejuice|newspapers
1,fruit|vegetablejuice|
1,packagedfruit|vegetables|
1,chocolate|
1,specialtybar|
1,othervegetables|
2,buttermilk|pastry
1,wholemilk|
5,tropicalfruit|creamcheese|processedcheese|detergent|newspapers|
11,tropicalfruit|rootvegetables|othervegetables|frozendessert|rolls|buns|flour|sweetspreads|saltysnack|waffles|candy|bathroomcleaner|
2,bottledwater|cannedbeer
1,yogurt|
4,sausage|rolls|buns|soda|chocolate
1,othervegetables|
6,brownbread|soda|fruit|vegetablejuice|cannedbeer|newspapers|shoppingbags
4,yogurt|beverages|bottledwater|specialtybar
7,hamburgermeat|othervegetables|rolls|buns|spices|bottledwater|hygienearticles|napkins|
5,rootvegetables|othervegetables|wholemilk|beverages|sugar|
8,pork|berries|othervegetables|wholemilk|whipped|sourcream|artif.sweetener|soda|abrasivecleaner
3,beef|grapes|detergent|
2,pastry|soda
1,fruit|vegetablejuice|
1,cannedbeer|
4,rootvegetables|othervegetables|wholemilk|dessert
3,citrusfruit|zwieback|newspapers|
6,sausage|rolls|buns|soda|cannedbeer|specialtybar|shoppingbags
13,tropicalfruit|rootvegetables|wholemilk|yogurt|domesticeggs|brownbread|pastry|sugar|cereals|coffee|soda|waffles|candy|
2,berries|yogurt
1,cannedbeer|
8,buttermilk|yogurt|creamcheese|spreadcheese|rolls|buns|bottledwater|soda|newspapers
1,coffee|
2,pastry|bottledwater
1,rolls|buns|
1,misc.beverages|
10,rootvegetables|othervegetables|butter|curd|whipped|sourcream|UHT-milk|hardcheese|rolls|buns|bottledwater|longlifebakeryproduct
4,sausage|rolls|buns|catfood|newspapers
1,cannedbeer|
4,ham|grapes|othervegetables|wholemilk
10,turkey|tropicalfruit|othervegetables|curd|domesticeggs|brownbread|semi-finishedbread|margarine|bakingpowder|fruit|vegetablejuice
5,wholemilk|yogurt|processedcheese|pickledvegetables|soda|
4,wholemilk|curd|yogurt|pastry
3,packagedfruit|vegetables|brownbread|cannedbeer|
7,rolls|buns|oil|bottledwater|chewinggum|chocolatemarshmallow|hygienearticles|napkins|
6,ham|beef|whipped|sourcream|icecream|rolls|buns|catfood
3,rolls|buns|pastry|sugar|
7,othervegetables|wholemilk|frozenvegetables|cannedfish|saltysnack|seasonalproducts|detergent|
2,sausage|pastry
3,sausage|beef|wholemilk|
5,frankfurter|tropicalfruit|rolls|buns|brownbread|sugar|
3,rolls|buns|pastry|soda|
1,wholemilk|
2,curdcheese|coffee
2,red|blushwine|newspapers
3,sausage|wholemilk|curd|
8,tropicalfruit|pipfruit|berries|wholemilk|frozenpotatoproducts|rolls|buns|pickledvegetables|chocolate
1,red|blushwine|
7,wholemilk|butter|margarine|specialtyfat|specialtychocolate|candles|flower(seeds)|
8,frankfurter|citrusfruit|wholemilk|domesticeggs|oil|sparklingwine|specialtychocolate|newspapers
3,wholemilk|meatspreads|soda|
1,frozenpotatoproducts|
4,othervegetables|wholemilk|rolls|buns|sugar
5,citrusfruit|wholemilk|curd|buttermilk|pastry|
5,flour|salt|bottledwater|fruit|vegetablejuice|bottledbeer|
4,sugar|bottledwater|soda|bottledbeer
2,frozenmeals|coffee
1,chocolate|
10,rootvegetables|wholemilk|frozenvegetables|domesticeggs|rolls|buns|oil|margarine|cannedvegetables|fruit|vegetablejuice|bathroomcleaner
4,rootvegetables|onions|hardcheese|frozenvegetables
7,herbs|condensedmilk|frozenvegetables|salt|oil|whitewine|candles|
1,bottledwater|
7,sausage|rootvegetables|onions|yogurt|rolls|buns|brandy|detergent|
2,coffee|newspapers
3,pork|othervegetables|whipped|sourcream|
2,berries|yogurt
1,soda|
1,berries|
3,fruit|vegetablejuice|saltysnack|candles|
4,citrusfruit|buttermilk|yogurt|creamcheese
9,pork|hamburgermeat|citrusfruit|berries|onions|whipped|sourcream|rice|coffee|chocolate|
1,detergent|
2,grapes|photo|film
9,sausage|slicedcheese|rolls|buns|brownbread|fruit|vegetablejuice|cannedbeer|red|blushwine|waffles|shoppingbags|
10,chicken|hamburgermeat|citrusfruit|tropicalfruit|rootvegetables|othervegetables|butter|pasta|oil|detergent
3,wholemilk|yogurt|brownbread|
2,citrusfruit|tropicalfruit
2,soda|misc.beverages
9,sausage|pork|grapes|wholemilk|rolls|buns|pastry|soda|specialtybar|bathroomcleaner|
3,frankfurter|rolls|buns|bottledwater|
10,sausage|wholemilk|yogurt|coffee|fruit|vegetablejuice|bottledbeer|softener|napkins|photo|film|shoppingbags
1,soda|
2,rolls|buns|fruit|vegetablejuice
6,beef|citrusfruit|berries|rootvegetables|brownbread|detergent
7,wholemilk|whipped|sourcream|rolls|buns|soda|waffles|candy|clingfilm|bags|
1,processedcheese|
2,tropicalfruit|pipfruit
10,frankfurter|sausage|rootvegetables|othervegetables|rolls|buns|oil|pickledvegetables|bottledbeer|chewinggum|dishes
2,packagedfruit|vegetables|bottledwater
8,wholemilk|dessert|frozenvegetables|rolls|buns|margarine|bottledwater|red|blushwine|newspapers
2,berries|whipped|sourcream
4,citrusfruit|berries|UHT-milk|processedcheese
3,tropicalfruit|wholemilk|yogurt|
6,hamburgermeat|wholemilk|frozenvegetables|rolls|buns|bottledbeer|sparklingwine
7,hamburgermeat|othervegetables|wholemilk|frozenvegetables|domesticeggs|soda|dishes|
3,wholemilk|creamcheese|soda|
8,fish|othervegetables|pastry|margarine|coffee|longlifebakeryproduct|malecosmetics|shoppingbags
4,frankfurter|sausage|longlifebakeryproduct|waffles
4,packagedfruit|vegetables|dessert|semi-finishedbread|cannedbeer
2,pastry|soda
2,othervegetables|red|blushwine
1,misc.beverages|
15,frankfurter|sausage|citrusfruit|tropicalfruit|pipfruit|wholemilk|hardcheese|creamcheese|domesticeggs|rice|sugar|cannedfruit|misc.beverages|fruit|vegetablejuice|hygienearticles|
1,sparklingwine|
1,specialtybar|
3,sausage|buttermilk|rolls|buns|
1,curdcheese|
2,frankfurter|dessert
5,wholemilk|yogurt|beverages|brownbread|shoppingbags|
1,newspapers|
2,berries|soda
3,curd|flour|liquor(appetizer)|
3,tropicalfruit|othervegetables|coffee|
1,soda|
2,rolls|buns|Instantfoodproducts
1,cannedbeer|
1,cannedbeer|
5,frankfurter|sausage|wholemilk|rolls|buns|margarine|
3,othervegetables|misc.beverages|cannedbeer|
2,wholemilk|frozenvegetables
1,wholemilk|
7,citrusfruit|butter|creamcheese|whitebread|oil|margarine|newspapers|
2,frankfurter|rolls|buns
10,frankfurter|ham|pipfruit|othervegetables|wholemilk|softcheese|frozenvegetables|rolls|buns|sugar|bakingpowder
5,buttermilk|yogurt|honey|soda|detergent|
6,hamburgermeat|citrusfruit|onions|rolls|buns|bottledwater|dentalcare
2,pasta|popcorn
6,othervegetables|wholemilk|meatspreads|cakebar|chocolate|shoppingbags
7,sausage|pork|citrusfruit|dessert|whitebread|dishes|candles|
1,rolls|buns|
6,grapes|othervegetables|curd|dessert|yogurt|napkins
9,rootvegetables|othervegetables|wholemilk|yogurt|beverages|softcheese|frozenvegetables|fruit|vegetablejuice|bottledbeer|
2,coffee|shoppingbags
1,popcorn|
5,wholemilk|rolls|buns|sugar|bottledwater|soda|
5,tropicalfruit|othervegetables|packagedfruit|vegetables|wholemilk|snackproducts|
5,beef|herbs|flour|clingfilm|bags|flowersoil|fertilizer|
4,wholemilk|butter|dessert|rolls|buns
