"No.","Outlook","Temp ","Humidity","Windy","Play"
"1","Sunny","Hot","High","","No"
"2","Sunny","Hot","High","1","No"
"3","Overcast","Hot","High","","Yes"
"4","Rainy","Mild","High","","Yes"
"5","Rainy","Cool","Normal","","Yes"
"6","Rainy","Cool","Normal","1","No"
"7","Overcast","Cool","Normal","1","Yes"
"8","Sunny","Mild","High","","No"
"9","Sunny","Mild","Normal","","Yes"
"10","Rainy","Mild","Normal","","Yes"
"11","Sunny","Mild","Normal","1","Yes"
"12","Overcast","Mild","High","1","Yes"
"13","Overcast","Hot","Normal","","Yes"
"14","Rainy","Mild","High","1","No"
